,co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
0,10_1,-34.6177846887899,-58.5236340121076,Villa Real,10,2020-03-21,2
1,10_1,-34.6177846887899,-58.5236340121076,Villa Real,10,2020-04-05,4
2,10_10,-34.622235759267696,-58.4911591096941,Floresta,10,2020-03-23,2
3,10_10,-34.622235759267696,-58.4911591096941,Floresta,10,2020-04-02,3
4,10_10,-34.622235759267696,-58.4911591096941,Floresta,10,2020-04-15,1
5,10_10,-34.622235759267696,-58.4911591096941,Floresta,10,2020-04-18,2
6,10_10,-34.622235759267696,-58.4911591096941,Floresta,10,2020-04-23,1
7,10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-03-25,1
8,10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-03-27,1
9,10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-03-19,1
10,10_11,-34.6267078512484,-58.4827078665302,Floresta,10,2020-04-19,2
11,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-03-23,2
12,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-03-26,1
13,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-04-21,1
14,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-04-23,1
15,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-04-27,1
16,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-04-28,1
17,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-05-04,1
18,10_12,-34.6303195322098,-58.480301218722495,Floresta,10,2020-05-07,1
19,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-03-25,2
20,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-03-27,1
21,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-03-23,1
22,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-04-03,1
23,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-04-12,1
24,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-04-18,1
25,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-04-29,2
26,10_13,-34.6298437337814,-58.490841895009005,Velez Sarsfield,10,2020-05-02,1
27,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-03-23,1
28,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-03-26,1
29,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-03-30,2
30,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-07,2
31,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-12,1
32,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-10,1
33,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-16,1
34,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-20,2
35,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-25,4
36,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-05-03,2
37,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-04-30,2
38,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-05-05,2
39,10_14,-34.6329747374992,-58.494385367317804,Velez Sarsfield,10,2020-05-18,1
40,10_15,-34.6355994914533,-58.500094599745594,Villa Luro,10,2020-03-26,1
41,10_15,-34.6355994914533,-58.500094599745594,Villa Luro,10,2020-03-23,1
